protein_id,has_esm,has_prott5,has_prostt5,has_ankh3_large,has_esm3c
2A5D_YEAST,1,1,1,1,1
2A5E_ARATH,1,1,1,1,1
2A5E_BOVIN,1,1,1,1,1
2A5E_HUMAN,1,1,1,1,1
2A5E_MOUSE,1,1,1,1,1
2A5G_ARATH,1,1,1,1,1
2A5G_HUMAN,1,1,1,1,1
2A5G_MOUSE,1,1,1,1,1
2A5K_ARATH,1,1,1,1,1
2A5K_ORYSJ,1,1,1,1,1
2A5N_ARATH,1,1,1,1,1
2A5T_ARATH,1,1,1,1,1
2A5Z_ARATH,1,1,1,1,1
2AAA_ARATH,1,1,1,1,1
2AAA_BOVIN,1,1,1,1,1
2AAA_CAEEL,1,1,1,1,1
2AAA_DICDI,1,1,1,1,1
2AAA_DROME,1,1,1,1,1
2AAA_HUMAN,1,1,1,1,1
2AAA_MOUSE,1,1,1,1,1
2AAA_SCHPO,1,1,1,1,1
2AAA_YEAST,1,1,1,1,1
2AAB_HUMAN,1,1,1,1,1
2AAB_MOUSE,1,1,1,1,1
2AAG_ARATH,1,1,1,1,1
2AB1_CAEEL,1,1,1,1,1
2ABA_DROME,1,1,1,1,1
2ABA_HUMAN,1,1,1,1,1
2ABA_MOUSE,1,1,1,1,1
2ABA_RAT,1,1,1,1,1
2ABA_SCHPO,1,1,1,1,1
2ABA_YEAST,1,1,1,1,1
2ABB_RAT,1,1,1,1,1
2ABD_DANRE,1,1,1,1,1
2ABD_MOUSE,1,1,1,1,1
2ABD_RAT,1,1,1,1,1
2ABD_XENLA,1,1,1,1,1
2AD1_SCHPO,1,1,1,1,1
2AD2_SCHPO,1,1,1,1,1
2MMP_ARATH,1,1,1,1,1
2ODD_SINHE,1,1,1,1,1
2SS1_BRAOA,1,1,1,1,1
2SS1_SESIN,1,1,1,1,1
2SS3_ARATH,1,1,1,1,1
2SS5_ARATH,1,1,1,1,1
2SS_CUCMA,1,1,1,1,1
2SS_FAGES,1,1,1,1,1
2SS_JUGRE,1,1,1,1,1
2SS_TAROF,1,1,1,1,1
35NBP_CHRVO,1,1,1,1,1
3AHD_EGGLE,1,1,1,1,1
3AHDP_MEDG7,1,1,1,1,1
3BHD2_EGGLE,1,1,1,1,1
3BHDP_MEDG7,1,1,1,1,1
3BHS1_HUMAN,1,1,1,1,1
3BHS1_MOUSE,1,1,1,1,1
3BHS1_RAT,1,1,1,1,1
3BHS2_HUMAN,1,1,1,1,1
3BHS4_MOUSE,1,1,1,1,1
3BHS4_RAT,1,1,1,1,1
3BHS5_MOUSE,1,1,1,1,1
3BHS5_RAT,1,1,1,1,1
3BHS7_HUMAN,1,1,1,1,1
3BHS7_MOUSE,1,1,1,1,1
3BHS7_RAT,1,1,1,1,1
3BHS_BOVIN,1,1,1,1,1
3BHS_MYCTU,1,1,1,1,1
3BP1_HUMAN,1,1,1,1,1
3BP1_MOUSE,1,1,1,1,1
3BP1_RAT,1,1,1,1,1
3BP2_HUMAN,1,1,1,1,1
3BP2_MOUSE,1,1,1,1,1
3BP5H_DROME,1,1,1,1,1
3BP5_HUMAN,1,1,1,1,1
3BP5L_HUMAN,1,1,1,1,1
3BP5_MOUSE,1,1,1,1,1
3BP5_RAT,1,1,1,1,1
3CAR1_PICAB,1,1,1,1,1
3CAR1_PICSI,1,1,1,1,1
3CAR1_PICXS,1,1,1,1,1
3CAR1_PINBN,1,1,1,1,1
3CAR1_PINCO,1,1,1,1,1
3CAR2_PICSI,1,1,1,1,1
3CAR2_PINBN,1,1,1,1,1
3CAR3_PICSI,1,1,1,1,1
3CP2_STRSQ,1,1,1,1,1
3DHQ_ACIAD,1,1,1,1,1
3DHQ_EMENI,1,1,1,1,1
3HAO_HUMAN,1,1,1,1,1
3HAO_MOUSE,1,1,1,1,1
3HAO_RAT,1,1,1,1,1
3HAO_YEAST,1,1,1,1,1
3HAPM_CUPPJ,1,1,1,1,1
3HBH_CORGL,1,1,1,1,1
3HD4E_AGRFC,1,1,1,1,1
3HIDH_ARATH,1,1,1,1,1
3HIDH_BOVIN,1,1,1,1,1
3HIDH_HUMAN,1,1,1,1,1
3HIDH_RAT,1,1,1,1,1
3L255_OPHHA,1,1,1,1,1
3MAT_DAHPI,1,1,1,1,1
3MDO_PSEAE,1,1,1,1,1
3MG1_ECOLI,1,1,1,1,1
3MG2_ECOLI,1,1,1,1,1
3MG_HUMAN,1,1,1,1,1
3MG_MOUSE,1,1,1,1,1
3MMP_ARATH,1,1,1,1,1
3NBA_BOIIR,1,1,1,1,1
3NBB_BOIIR,1,1,1,1,1
3NOJ_WALAE,1,1,1,1,1
3NX2_MICSU,1,1,1,1,1
3NX4_MICSU,1,1,1,1,1
3NX5_MICSU,1,1,1,1,1
3O1D_COMTE,1,1,1,1,1
3O1D_MYCS2,1,1,1,1,1
3O1D_MYCTO,1,1,1,1,1
3O1D_MYCTU,1,1,1,1,1
3O1D_RHOOP,1,1,1,1,1
3PASE_ACET2,1,1,1,1,1
3PASE_ECOLI,1,1,1,1,1
3PASE_NITEU,1,1,1,1,1
3S11_MICSU,1,1,1,1,1
3S11_MICTC,1,1,1,1,1
3S13_MICSU,1,1,1,1,1
3SA3_NAJKA,1,1,1,1,1
3SBH_HEMHA,1,1,1,1,1
3SIM7_DENAN,1,1,1,1,1
3SO1_HEMHA,1,1,1,1,1
3SX1_MICDM,1,1,1,1,1
3SX1_MICMP,1,1,1,1,1
3SX_MICSU,1,1,1,1,1
3XYN1_VIBSX,1,1,1,1,1
3XYN2_VIBSX,1,1,1,1,1
3XYN_ALCSP,1,1,1,1,1
4CGT_ANTMA,1,1,1,1,1
4CL1_ARATH,1,1,1,1,1
4CL1_ORYSJ,1,1,1,1,1
4CL1_PETHY,1,1,1,1,1
4CL2_ARATH,1,1,1,1,1
4CL2_ORYSJ,1,1,1,1,1
4CL2_TOBAC,1,1,1,1,1
4CL3_ARATH,1,1,1,1,1
4CL3_ORYSJ,1,1,1,1,1
4CL4_ARATH,1,1,1,1,1
4CL4_ORYSJ,1,1,1,1,1
4CL5_ORYSJ,1,1,1,1,1
4CLL1_ARATH,1,1,1,1,1
4CLL4_ARATH,1,1,1,1,1
4CLL5_ARATH,1,1,1,1,1
4CLL6_ARATH,1,1,1,1,1
4CLL7_ARATH,1,1,1,1,1
4CLL8_ARATH,1,1,1,1,1
4CLL9_ARATH,1,1,1,1,1
4CLLA_ARATH,1,1,1,1,1
4EB3L_DANRE,1,1,1,1,1
4EBP1_HUMAN,1,1,1,1,1
4EBP1_MOUSE,1,1,1,1,1
4EBP1_RAT,1,1,1,1,1
4EBP2_HUMAN,1,1,1,1,1
4EBP2_MOUSE,1,1,1,1,1
4EBP_DROME,1,1,1,1,1
4ET_DROME,1,1,1,1,1
4ET_HUMAN,1,1,1,1,1
4ET_MOUSE,1,1,1,1,1
4F2_HUMAN,1,1,1,1,1
4F2_MOUSE,1,1,1,1,1
4F2_RABIT,1,1,1,1,1
4F2_RAT,1,1,1,1,1
4HBT_ARTSP,1,1,1,1,1
4HBT_PSEUC,1,1,1,1,1
4HPE2_BRUA4,1,1,1,1,1
4HPE2_BURM1,1,1,1,1,1
4HYPE_BRUA2,1,1,1,1,1
4HYPE_BURTA,1,1,1,1,1
4HYPE_PARDP,1,1,1,1,1
4HYPE_PSEAE,1,1,1,1,1
4HYPE_PSEP1,1,1,1,1,1
4HYPE_ROSAD,1,1,1,1,1
4HYPE_ROSAI,1,1,1,1,1
4HYPE_SHELP,1,1,1,1,1
4HYPE_STRRD,1,1,1,1,1
4HYPE_XANCP,1,1,1,1,1
4MMP_ARATH,1,1,1,1,1
4ON1_ARATH,1,1,1,1,1
4OT_BACSU,1,1,1,1,1
5DNU_ECOLI,1,1,1,1,1
5EAS_TOBAC,1,1,1,1,1
5FCL_ARATH,1,1,1,1,1
5FCL_ECOLI,1,1,1,1,1
5FCLL_ARATH,1,1,1,1,1
5GT1_PERFR,1,1,1,1,1
5GT_GENTR,1,1,1,1,1
5HT1A_HUMAN,1,1,1,1,1
5HT1A_MOUSE,1,1,1,1,1
5HT1A_RAT,1,1,1,1,1
5HT1A_XENLA,1,1,1,1,1
5HT1B_CRIGR,1,1,1,1,1
5HT1B_HUMAN,1,1,1,1,1
5HT1B_MOUSE,1,1,1,1,1
5HT1B_RAT,1,1,1,1,1
5HT1D_HUMAN,1,1,1,1,1
5HT1D_MOUSE,1,1,1,1,1
5HT1D_RAT,1,1,1,1,1
5HT1E_HUMAN,1,1,1,1,1
5HT1F_HUMAN,1,1,1,1,1
5HT1R_DROME,1,1,1,1,1
5HT2A_CANLF,1,1,1,1,1
5HT2A_DROME,1,1,1,1,1
5HT2A_HUMAN,1,1,1,1,1
5HT2A_MOUSE,1,1,1,1,1
5HT2A_RAT,1,1,1,1,1
5HT2B_DICFU,1,1,1,1,1
5HT2B_DROME,1,1,1,1,1
5HT2B_HUMAN,1,1,1,1,1
5HT2B_MOUSE,1,1,1,1,1
5HT2B_RAT,1,1,1,1,1
5HT2C_HUMAN,1,1,1,1,1
5HT2C_MOUSE,1,1,1,1,1
5HT2C_RAT,1,1,1,1,1
5HT3A_CAVPO,1,1,1,1,1
5HT3A_HUMAN,1,1,1,1,1
5HT3A_MOUSE,1,1,1,1,1
5HT3A_RAT,1,1,1,1,1
5HT3B_HUMAN,1,1,1,1,1
5HT3B_MOUSE,1,1,1,1,1
5HT3B_RAT,1,1,1,1,1
5HT3C_HUMAN,1,1,1,1,1
5HT3D_HUMAN,1,1,1,1,1
5HT3E_HUMAN,1,1,1,1,1
5HT4R_HUMAN,1,1,1,1,1
5HT4R_MOUSE,1,1,1,1,1
5HT4R_RAT,1,1,1,1,1
5HT5A_HUMAN,1,1,1,1,1
5HT5A_MOUSE,1,1,1,1,1
5HT5A_RAT,1,1,1,1,1
5HT5B_MOUSE,1,1,1,1,1
5HT5B_RAT,1,1,1,1,1
5HT6R_HUMAN,1,1,1,1,1
5HT6R_MOUSE,1,1,1,1,1
5HT6R_RAT,1,1,1,1,1
5HT7R_HUMAN,1,1,1,1,1
5HT7R_MOUSE,1,1,1,1,1
5HT7R_RAT,1,1,1,1,1
5MAT1_SALSN,1,1,1,1,1
5MAT2_SALSN,1,1,1,1,1
5MAT_ARATH,1,1,1,1,1
5MMP_ARATH,1,1,1,1,1
5MP1_HUMAN,1,1,1,1,1
5MP2_HUMAN,1,1,1,1,1
5NG4_PINTA,1,1,1,1,1
5NT1A_HUMAN,1,1,1,1,1
5NT1A_MOUSE,1,1,1,1,1
5NT1B_HUMAN,1,1,1,1,1
5NT1B_MOUSE,1,1,1,1,1
5NT3A_HUMAN,1,1,1,1,1
5NT3A_MOUSE,1,1,1,1,1
5NT3B_DROME,1,1,1,1,1
5NT3B_HUMAN,1,1,1,1,1
5NTC_BOVIN,1,1,1,1,1
5NTC_CHICK,1,1,1,1,1
5NTC_HUMAN,1,1,1,1,1
5NTC_MOUSE,1,1,1,1,1
5NTC_RAT,1,1,1,1,1
5NTD_BOVIN,1,1,1,1,1
5NTD_HUMAN,1,1,1,1,1
5NTD_MOUSE,1,1,1,1,1
5NTD_RAT,1,1,1,1,1
60A_DROME,1,1,1,1,1
6GAL_HYPRU,1,1,1,1,1
6HN3M_PSEFL,1,1,1,1,1
6HN3M_PSEPK,1,1,1,1,1
6OMT_PAPSO,1,1,1,1,1
6P21_YEAST,1,1,1,1,1
6P22_YEAST,1,1,1,1,1
6PGD1_ARATH,1,1,1,1,1
6PGD1_ORYSJ,1,1,1,1,1
6PGD1_YEAST,1,1,1,1,1
6PGD2_ARATH,1,1,1,1,1
6PGD2_ORYSJ,1,1,1,1,1
6PGD2_SPIOL,1,1,1,1,1
6PGD2_YEAST,1,1,1,1,1
6PGD3_ARATH,1,1,1,1,1
6PGD_CAEEL,1,1,1,1,1
6PGD_DROME,1,1,1,1,1
6PGD_ECOLI,1,1,1,1,1
6PGD_HUMAN,1,1,1,1,1
6PGD_MOUSE,1,1,1,1,1
6PGD_RAT,1,1,1,1,1
6PGD_SCHPO,1,1,1,1,1
6PGD_SHEEP,1,1,1,1,1
6PGD_TRYBB,1,1,1,1,1
6PGL1_ARATH,1,1,1,1,1
6PGL2_ARATH,1,1,1,1,1
6PGL3_ARATH,1,1,1,1,1
6PGL4_ARATH,1,1,1,1,1
6PGL5_ARATH,1,1,1,1,1
6PGL_CAEEL,1,1,1,1,1
6PGL_DROME,1,1,1,1,1
6PGL_ECOLI,1,1,1,1,1
6PGL_HUMAN,1,1,1,1,1
6PGL_RAT,1,1,1,1,1
6PGL_SCHPO,1,1,1,1,1
708A6_MAIZE,1,1,1,1,1
708C1_FAGES,1,1,1,1,1
708C2_FAGES,1,1,1,1,1
708D1_SOYBN,1,1,1,1,1
708G1_CITJP,1,1,1,1,1
708G2_CITUN,1,1,1,1,1
72A61_PARPY,1,1,1,1,1
72A61_TRIFG,1,1,1,1,1
73C10_BARVU,1,1,1,1,1
73C11_BARVU,1,1,1,1,1
73C12_BARVU,1,1,1,1,1
73C13_BARVU,1,1,1,1,1
73C25_BARVU,1,1,1,1,1
74AC1_SIRGR,1,1,1,1,1
75L17_MALDO,1,1,1,1,1
7B2_DROME,1,1,1,1,1
7B2_HUMAN,1,1,1,1,1
7B2_MOUSE,1,1,1,1,1
7B2_PIG,1,1,1,1,1
7DLH_CATRO,1,1,1,1,1
7DMAW_ASPFU,1,1,1,1,1
7LESS_DROME,1,1,1,1,1
7OMT_PAPSO,1,1,1,1,1
7SB1_SOYBN,1,1,1,1,1
7UP1_DROME,1,1,1,1,1
7UP2_DROME,1,1,1,1,1
82J17_TRIFG,1,1,1,1,1
85A19_PRUDU,1,1,1,1,1
86A22_PETHY,1,1,1,1,1
88F1G_MALDO,1,1,1,1,1
8HGO_CATRO,1,1,1,1,1
8ODP_DANRE,1,1,1,1,1
8ODP_HUMAN,1,1,1,1,1
8ODP_MOUSE,1,1,1,1,1
8ODP_RAT,1,1,1,1,1
94D18_PARPY,1,1,1,1,1
94D19_PARPY,1,1,1,1,1
9DC1_SOLPI,1,1,1,1,1
9DC2_SOLPI,1,1,1,1,1
9DC3_SOLPI,1,1,1,1,1
A0A014NF26_9HYPO,1,1,1,1,1
A0A021WW32_DROME,1,1,1,1,1
A0A021WZA4_DROME,1,1,1,1,1
A0A023GPJ3_DROME,1,1,1,1,1
A0A023GPK8_DROME,1,1,1,1,1
A0A023GQ97_DROME,1,1,1,1,1
A0A023GRW4_DROME,1,1,1,1,1
A0A023GUT0_TAEGU,1,1,1,1,1
A0A023IM54_RAT,1,1,1,1,1
A0A023T787_HUMAN,1,1,1,1,1
A0A023VTS2_PIG,1,1,1,1,1
A0A023ZUP0_BPT4,1,1,1,1,1
A0A024A2C9_HAEIF,1,1,1,1,1
A0A024B5K5_DANRE,1,1,1,1,1
A0A024B7I3_CHICK,1,1,1,1,1
A0A024CBD6_PIG,1,1,1,1,1
A0A024DAJ6_WHEAT,1,1,1,1,1
A0A024DAP6_WHEAT,1,1,1,1,1
A0A024DB95_WHEAT,1,1,1,1,1
A0A024FSH6_BOMMO,1,1,1,1,1
A0A024HKB0_PSEKB,1,1,1,1,1
A0A024QYX0_HUMAN,1,1,1,1,1
A0A024QYX5_HUMAN,1,1,1,1,1
A0A024QZ33_HUMAN,1,1,1,1,1
A0A024QZC1_HUMAN,1,1,1,1,1
A0A024QZT0_HUMAN,1,1,1,1,1
A0A024QZT4_HUMAN,1,1,1,1,1
A0A024R040_HUMAN,1,1,1,1,1
A0A024R0H7_HUMAN,1,1,1,1,1
A0A024R0K5_HUMAN,1,1,1,1,1
A0A024R0V4_HUMAN,1,1,1,1,1
A0A024R1A3_HUMAN,1,1,1,1,1
A0A024R1X5_HUMAN,1,1,1,1,1
A0A024R1Z9_HUMAN,1,1,1,1,1
A0A024R214_HUMAN,1,1,1,1,1
A0A024R274_HUMAN,1,1,1,1,1
A0A024R2F2_HUMAN,1,1,1,1,1
A0A024R2I8_HUMAN,1,1,1,1,1
A0A024R2L1_HUMAN,1,1,1,1,1
A0A024R2M6_HUMAN,1,1,1,1,1
A0A024R336_HUMAN,1,1,1,1,1
A0A024R3B0_HUMAN,1,1,1,1,1
A0A024R3X4_HUMAN,1,1,1,1,1
A0A024R3Z1_HUMAN,1,1,1,1,1
A0A024R4F1_HUMAN,1,1,1,1,1
A0A024R4K3_HUMAN,1,1,1,1,1
A0A024R531_HUMAN,1,1,1,1,1
A0A024R5F7_HUMAN,1,1,1,1,1
A0A024R5G9_HUMAN,1,1,1,1,1
A0A024R5J5_HUMAN,1,1,1,1,1
A0A024R601_HUMAN,1,1,1,1,1
A0A024R625_HUMAN,1,1,1,1,1
A0A024R640_HUMAN,1,1,1,1,1
A0A024R688_HUMAN,1,1,1,1,1
A0A024R693_HUMAN,1,1,1,1,1
A0A024R6A3_HUMAN,1,1,1,1,1
A0A024R6G4_HUMAN,1,1,1,1,1
A0A024R6I3_HUMAN,1,1,1,1,1
A0A024R6K8_HUMAN,1,1,1,1,1
A0A024R753_HUMAN,1,1,1,1,1
A0A024R7H5_HUMAN,1,1,1,1,1
A0A024R7L5_HUMAN,1,1,1,1,1
A0A024R7N1_HUMAN,1,1,1,1,1
A0A024R7P0_HUMAN,1,1,1,1,1
A0A024R7W9_HUMAN,1,1,1,1,1
A0A024R8A0_HUMAN,1,1,1,1,1
A0A024R8F3_HUMAN,1,1,1,1,1
A0A024R8S5_HUMAN,1,1,1,1,1
A0A024R9B7_HUMAN,1,1,1,1,1
A0A024R9T6_HUMAN,1,1,1,1,1
A0A024RA29_HUMAN,1,1,1,1,1
A0A024RA31_HUMAN,1,1,1,1,1
A0A024RAA1_HUMAN,1,1,1,1,1
A0A024RAC7_HUMAN,1,1,1,1,1
A0A024RAZ8_HUMAN,1,1,1,1,1
A0A024RBE8_HUMAN,1,1,1,1,1
A0A024RBH9_HUMAN,1,1,1,1,1
A0A024RC21_HUMAN,1,1,1,1,1
A0A024RCM3_HUMAN,1,1,1,1,1
A0A024RCN4_HUMAN,1,1,1,1,1
A0A024RCN6_HUMAN,1,1,1,1,1
A0A024RCN9_HUMAN,1,1,1,1,1
A0A024RCP5_HUMAN,1,1,1,1,1
A0A024RCQ1_HUMAN,1,1,1,1,1
A0A024RCQ4_HUMAN,1,1,1,1,1
A0A024RCS3_HUMAN,1,1,1,1,1
A0A024RCV5_HUMAN,1,1,1,1,1
A0A024RCW8_HUMAN,1,1,1,1,1
A0A024RCX7_HUMAN,1,1,1,1,1
A0A024RDM6_HUMAN,1,1,1,1,1
A0A024RDP2_HUMAN,1,1,1,1,1
A0A024RDS4_HUMAN,1,1,1,1,1
A0A024RDT8_HUMAN,1,1,1,1,1
A0A024RDV9_HUMAN,1,1,1,1,1
A0A059VAZ3_9DEIN,1,1,1,1,1
A0A060D4V3_ONCMY,1,1,1,1,1
A0A060D574_SALSA,1,1,1,1,1
A0A060D9G1_SALSA,1,1,1,1,1
A0A060DAJ9_ONCMY,1,1,1,1,1
A0A060IVL7_DANRE,1,1,1,1,1
A0A060VMC1_ONCMY,1,1,1,1,1
A0A060VN46_ONCMY,1,1,1,1,1
A0A060VP85_ONCMY,1,1,1,1,1
A0A060VSG9_ONCMY,1,1,1,1,1
A0A060VTL6_ONCMY,1,1,1,1,1
A0A060VTM4_ONCMY,1,1,1,1,1
A0A060VUB5_ONCMY,1,1,1,1,1
A0A060VUV7_ONCMY,1,1,1,1,1
A0A060VX13_ONCMY,1,1,1,1,1
A0A060VX54_ONCMY,1,1,1,1,1
A0A060VX90_ONCMY,1,1,1,1,1
A0A060VXQ0_ONCMY,1,1,1,1,1
A0A060VY20_ONCMY,1,1,1,1,1
A0A060VYW9_ONCMY,1,1,1,1,1
A0A060VZ42_ONCMY,1,1,1,1,1
A0A060VZM9_ONCMY,1,1,1,1,1
A0A060W032_ONCMY,1,1,1,1,1
A0A060W139_ONCMY,1,1,1,1,1
A0A060W1Y7_ONCMY,1,1,1,1,1
A0A060W3E5_ONCMY,1,1,1,1,1
A0A060W590_ONCMY,1,1,1,1,1
A0A060W6G8_ONCMY,1,1,1,1,1
A0A060W7T9_ONCMY,1,1,1,1,1
A0A060W8G0_ONCMY,1,1,1,1,1
A0A060W984_ONCMY,1,1,1,1,1
A0A060WAZ1_ONCMY,1,1,1,1,1
A0A060WB67_ONCMY,1,1,1,1,1
A0A060WBM3_ONCMY,1,1,1,1,1
A0A060WFK8_ONCMY,1,1,1,1,1
A0A060WH27_ONCMY,1,1,1,1,1
A0A060WI24_ONCMY,1,1,1,1,1
A0A060WJ53_ONCMY,1,1,1,1,1
A0A060WKC7_ONCMY,1,1,1,1,1
A0A060WM81_ONCMY,1,1,1,1,1
A0A060WMK8_ONCMY,1,1,1,1,1
A0A060WMR1_ONCMY,1,1,1,1,1
A0A060WMZ6_ONCMY,1,1,1,1,1
A0A060WP64_ONCMY,1,1,1,1,1
A0A060WPC3_ONCMY,1,1,1,1,1
A0A060WRB3_ONCMY,1,1,1,1,1
A0A060WRY3_ONCMY,1,1,1,1,1
A0A060WT29_ONCMY,1,1,1,1,1
A0A060WT98_ONCMY,1,1,1,1,1
A0A060WTK5_ONCMY,1,1,1,1,1
A0A060WU79_ONCMY,1,1,1,1,1
A0A060WUE4_ONCMY,1,1,1,1,1
A0A060WX43_ONCMY,1,1,1,1,1
A0A060WYU6_ONCMY,1,1,1,1,1
A0A060WYV9_ONCMY,1,1,1,1,1
A0A060WYW4_ONCMY,1,1,1,1,1
A0A060WZ60_ONCMY,1,1,1,1,1
A0A060WZC7_ONCMY,1,1,1,1,1
A0A060WZI4_ONCMY,1,1,1,1,1
A0A060WZI6_ONCMY,1,1,1,1,1
A0A060WZN4_ONCMY,1,1,1,1,1
A0A060WZU7_ONCMY,1,1,1,1,1
A0A060WZV7_ONCMY,1,1,1,1,1
A0A060X010_ONCMY,1,1,1,1,1
A0A060X1Z3_ONCMY,1,1,1,1,1
A0A060X4F4_ONCMY,1,1,1,1,1
A0A060X5E8_ONCMY,1,1,1,1,1
A0A060X727_ONCMY,1,1,1,1,1
A0A060X747_ONCMY,1,1,1,1,1
A0A060X7C2_ONCMY,1,1,1,1,1
A0A060X7Z0_ONCMY,1,1,1,1,1
A0A060X840_ONCMY,1,1,1,1,1
A0A060X8V7_ONCMY,1,1,1,1,1
A0A060X9D7_ONCMY,1,1,1,1,1
A0A060XA63_ONCMY,1,1,1,1,1
A0A060XAB1_ONCMY,1,1,1,1,1
A0A060XAF0_ONCMY,1,1,1,1,1
A0A060XBA6_ONCMY,1,1,1,1,1
A0A060XC03_ONCMY,1,1,1,1,1
A0A060XC77_ONCMY,1,1,1,1,1
A0A060XDT5_ONCMY,1,1,1,1,1
A0A060XEV5_ONCMY,1,1,1,1,1
A0A060XEX6_ONCMY,1,1,1,1,1
A0A060XFW6_ONCMY,1,1,1,1,1
A0A060XK41_ONCMY,1,1,1,1,1
A0A060XL43_ONCMY,1,1,1,1,1
A0A060XMH4_ONCMY,1,1,1,1,1
A0A060XPN3_ONCMY,1,1,1,1,1
A0A060XPX2_ONCMY,1,1,1,1,1
A0A060XQE7_ONCMY,1,1,1,1,1
A0A060XS70_ONCMY,1,1,1,1,1
A0A060XSD9_ONCMY,1,1,1,1,1
A0A060XSR8_ONCMY,1,1,1,1,1
A0A060XT52_ONCMY,1,1,1,1,1
A0A060XUW4_ONCMY,1,1,1,1,1
A0A060XV00_ONCMY,1,1,1,1,1
A0A060XV16_ONCMY,1,1,1,1,1
A0A060XV60_ONCMY,1,1,1,1,1
A0A060XWG0_ONCMY,1,1,1,1,1
A0A060XXJ7_ONCMY,1,1,1,1,1
A0A060XXK3_ONCMY,1,1,1,1,1
A0A060XXZ0_ONCMY,1,1,1,1,1
A0A060Y0V6_ONCMY,1,1,1,1,1
A0A060Y126_ONCMY,1,1,1,1,1
A0A060Y1K1_ONCMY,1,1,1,1,1
A0A060Y1K9_ONCMY,1,1,1,1,1
A0A060Y1P2_ONCMY,1,1,1,1,1
A0A060Y2R1_ONCMY,1,1,1,1,1
A0A060Y3B2_ONCMY,1,1,1,1,1
A0A060Y5I6_ONCMY,1,1,1,1,1
A0A060Y5T2_ONCMY,1,1,1,1,1
A0A060Y5T9_ONCMY,1,1,1,1,1
A0A060Y643_ONCMY,1,1,1,1,1
A0A060Y644_ONCMY,1,1,1,1,1
A0A060Y6Z6_ONCMY,1,1,1,1,1
A0A060Y7B7_ONCMY,1,1,1,1,1
A0A060Y7E5_ONCMY,1,1,1,1,1
A0A060Y8H0_ONCMY,1,1,1,1,1
A0A060YAF5_ONCMY,1,1,1,1,1
A0A060YAV5_ONCMY,1,1,1,1,1
A0A060YD78_ONCMY,1,1,1,1,1
A0A060YDS7_ONCMY,1,1,1,1,1
A0A060YDW5_ONCMY,1,1,1,1,1
